"periodo","IPC.INDEC","IPC.San.Luis","anio","mes","coeficiente.confusion","IPC.INDEC.acumulado.anual","IPC.San.Luis.acumulado.anual","coeficiente.confusion.acumulado.anual"
2009-01-01,116.941223183211,148.248507697141,"2009","01",2.84799433756102,0.530324944556952,1.15761830751914,2.18284717586922
2009-02-01,117.445957025839,148.232799245994,"2009","02",2.76469781362853,0.964227171921706,1.14689961948658,1.18944959536953
2009-03-01,118.197449635975,151.696512723845,"2009","03",2.84086582229886,1.61025937710926,3.51037033067152,2.18000303589186
2009-04-01,118.590020402464,154.461200125668,"2009","04",2.92959334882981,1.94773888728186,5.39685942440646,2.77083312329302
2009-05-01,118.982591168952,155.796418473139,"2009","05",2.93934679288665,2.28521839745446,6.30794790717617,2.76032606520353
2009-06-01,119.487325011581,156.621112158341,"2009","06",2.90553537361812,2.71912062481923,6.87067902888685,2.52680185136827
2009-07-01,120.227601314103,158.191957273013,"2009","07",2.87685901899014,3.35551055828756,7.94254783214534,2.36701619445915
2009-08-01,121.225852691746,161.129437637449,"2009","08",2.87995203421068,4.21367274129787,9.94694249423868,2.36063479651599
2009-09-01,122.123157300863,163.61137291863,"2009","09",2.87532977565319,4.98505447883524,11.6404952033871,2.33507883470652
2009-10-01,123.098976063278,166.328934967012,"2009","10",2.8715097494066,5.8239321184071,13.4948282330243,2.31713350338899
2009-11-01,124.119660056149,168.237511781338,"2009","11",2.82912410964692,6.70137884485587,14.7971488289833,2.20807525907029
2009-12-01,125.274939740387,173.625510524662,"2009","12",2.91298461167108,7.69453283193525,18.4736588241599,2.40088114868874
2010-01-01,126.576031423607,177.474081055608,"2010","01",2.91518623758053,1.03858895156235,2.21659278024066,2.13423489331968
2010-02-01,128.157530797177,185.202639019793,"2010","02",3.0259272247102,2.30101172889246,6.66787297566272,2.89780051615475
2010-03-01,129.615650786992,190.072258875275,"2010","03",3.04137361434706,3.46494762288476,9.47254139147744,2.73381950391245
2010-04-01,130.692416317933,192.672007540057,"2010","04",3.01937803071928,4.32446951383292,10.9698724328237,2.53669783027345
2010-05-01,131.668235080348,195.71944706252,"2010","05",3.02256967651219,5.10341122750468,12.7250520220755,2.49344045674669
2010-06-01,132.632837535149,197.8479421929,"2010","06",2.99845032132149,5.87339958814574,13.9509635393106,2.37527914284391
2010-07-01,133.698386758476,200.746151429469,"2010","07",2.98964315863368,6.7239681260632,15.6201936125939,2.32306181703144
2010-08-01,134.685421828505,202.874646559849,"2010","08",2.96593326927065,7.51186319276569,16.846105129829,2.24260009767653
2010-09-01,135.66124059092,206.094879044926,"2010","09",2.9750753839994,8.29080490643746,18.7008052112549,2.25560792013505
2010-10-01,136.805303967544,212.825950361294,"2010","10",3.06548073779763,9.20404691556986,22.5775807473084,2.45300583041526
2010-11-01,137.803555345187,216.863022306001,"2010","11",3.09132358686675,10.0008953353031,24.9027413371935,2.49005119064561
2010-12-01,138.958835029426,220.554508325479,"2010","12",3.09440742348746,10.9230906974662,27.0288609427305,2.47447006450293
2011-01-01,139.968302714683,222.981464027647,"2011","01",3.07697489446976,0.726450883848571,1.10038816281468,1.51474543879013
2011-02-01,141.000203015168,225.384857053095,"2011","02",3.05815210248371,1.46904512067157,2.19009294540793,1.49082755498125
2011-03-01,142.189131622248,231.377631165567,"2011","03",3.11401600634714,2.32464282831543,4.90723264840996,2.11096198892886
2011-04-01,143.378060229329,237.386113729186,"2011","04",3.16717974484939,3.18024053595931,7.63149460489299,2.39965955989897
2011-05-01,144.432393145041,241.517436380773,"2011","05",3.18500594642326,3.93897812575672,9.50464727039635,2.41297284903566
2011-06-01,145.464293445526,245.153942821238,"2011","06",3.1927020485902,4.68157236257971,11.1534489512482,2.3824151561554
2011-07-01,146.619573129765,249.418787307572,"2011","07",3.20506553956783,5.51295504076195,13.0871407713401,2.37388853610736
2011-08-01,147.842150659687,255.482249450204,"2011","08",3.24990092013604,6.39276777786746,15.8363306150066,2.47722600996612
2011-09-01,149.075944497223,260.38328620798,"2011","09",3.26806315907082,7.28065219146015,18.058473701079,2.48033736898745
2011-10-01,150.018114336797,263.250078542256,"2011","10",3.26381913246495,7.95867301638549,19.3582849613618,2.43235083556097
2011-11-01,150.9042026383,266.910147659441,"2011","11",3.27890702552443,8.59633545887479,21.0177700224351,2.44496857096665
2011-12-01,152.171645398678,271.88972667295,"2011","12",3.29469629258244,9.50843490192912,23.2755243759125,2.44788176140221
2012-01-01,153.56246754281,275.031416902293,"2012","01",3.2677997286514,0.913982457433477,1.15550163214606,1.26424924542948
2012-02-01,154.69531461182,279.076343072573,"2012","02",3.27407099389592,1.65843591066559,2.64320998353411,1.59379688207143
2012-03-01,156.142218294022,288.532830662897,"2012","03",3.35812934350995,2.60927249944717,6.12126989629371,2.34596804189314
2012-04-01,157.443309977242,294.305686459315,"2012","04",3.38256424527582,3.46428834672368,8.24450414536209,2.37985505830058
2012-05-01,158.721969045234,299.921457744266,"2012","05",3.40454281412574,4.3045625414609,10.3099633128232,2.39512452508685
2012-06-01,159.866032421859,303.927112786679,"2012","06",3.40639097893883,5.05638682096263,11.7832278938094,2.33036520168093
