"periodo","IPC.San.Luis.B2003","IPCNu","IPC.GBA.B2008.abr","IPC.GBA.B1999","IPC.San.Luis","IPC.INDEC","anio","mes","coeficiente.confusion","IPC.San.Luis.acumulado.anual","IPC.INDEC.acumulado.anual","coeficiente.confusion.acumulado.anual"
2010-12-01,280.81,,123.89,,220.554508325479,138.955639899288,"2010","12",3.09466122587513,27.0288609427305,10.9230906974662,2.47447006450293
2011-01-01,283.9,,124.79,,222.981464027647,139.965084373493,"2011","01",3.07722267963517,1.10038816281468,0.726450883848599,1.51474543879007
2011-02-01,286.96,,125.71,,225.384857053095,140.996960947126,"2011","02",3.05839394326824,2.19009294540793,1.46904512067157,1.49082755498125
2011-03-01,294.59,,126.77,,231.377631165567,142.185862216746,"2011","03",3.11425734267475,4.90723264840996,2.32464282831543,2.11096198892886
2011-04-01,302.24,,127.83,,237.386113729186,143.374763486366,"2011","04",3.16742046956337,7.63149460489299,3.18024053595931,2.39965955989897
2011-05-01,307.5,,128.77,,241.517436380773,144.429072159426,"2011","05",3.18524401934308,9.50464727039635,3.93897812575672,2.41297284903566
2011-06-01,312.13,,129.69,,245.153942821238,145.460948733058,"2011","06",3.19293694624733,11.1534489512482,4.68157236257969,2.38241515615542
2011-07-01,317.56,,130.72,,249.418787307572,146.616201853538,"2011","07",3.20529732939257,13.0871407713401,5.51295504076197,2.37388853610735
2011-08-01,325.28,,131.81,,255.482249450204,147.838751272299,"2011","08",3.25013185576683,15.8363306150066,6.39276777786748,2.47722600996611
2011-09-01,331.52,,132.91,,260.38328620798,149.072516740772,"2011","09",3.26829143602336,18.058473701079,7.28065219146016,2.48033736898745
2011-10-01,335.17,,133.75,,263.250078542256,150.014664916698,"2011","10",3.26404423210987,19.3582849613618,7.9586730163855,2.43235083556097
2011-11-01,339.83,,134.54,,266.910147659441,150.900732844056,"2011","11",3.27913054161323,21.0177700224351,8.59633545887482,2.44496857096665
2011-12-01,346.17,,135.67,,271.88972667295,152.16814646167,"2011","12",3.29491726908954,23.2755243759125,9.50843490192912,2.44788176140221
2012-01-01,350.17,,136.91,,275.031416902293,153.558936626132,"2012","01",3.26801516101973,1.15550163214606,0.913982457433505,1.26424924542944
2012-02-01,355.32,,137.92,,279.076343072573,154.691757647185,"2012","02",3.27428392826191,2.64320998353411,1.65843591066562,1.5937968820714
2012-03-01,367.36,,139.21,,288.532830662897,156.138628060213,"2012","03",3.35834410596354,6.12126989629371,2.6092724994472,2.34596804189312
2012-04-01,374.71,,140.37,,294.305686459315,157.439689826967,"2012","04",3.38277743220143,8.24450414536209,3.46428834672368,2.37985505830058
2012-05-01,381.86,,141.51,,299.921457744266,158.718319494295,"2012","05",3.40475441848589,10.3099633128232,4.3045625414609,2.39512452508685
2012-06-01,386.96,,142.53,,303.927112786679,159.862356565061,"2012","06",3.40660014887722,11.7832278938094,5.05638682096263,2.33036520168093
2012-07-01,396.57,,143.66,,311.475023562677,161.129770182675,"2012","07",3.45944411259394,14.5593205650403,5.88929018943026,2.47216898755821
2012-08-01,400.62,,144.94,,314.655984919887,162.56542454599,"2012","08",3.43090431300596,15.7292659675882,6.83275595194222,2.30203831048833
2012-09-01,406.92,,146.22,,319.604147031103,164.001078909305,"2012","09",3.43125695337574,17.5491810382182,7.77622171445422,2.25677477863038
2012-10-01,413,,147.45,,324.379516179705,165.380653024053,"2012","10",3.431894693636,19.3055435190802,8.68283334561806,2.22341518610663
2012-11-01,420.84,,148.83,,330.537229029218,166.928467884502,"2012","11",3.44453169654285,21.5703267180865,9.70000737082628,2.22374333270729
2012-12-01,425.81,,150.38,,334.440779139177,168.666955590079,"2012","12",3.41417173842275,23.0060374960279,10.8424854426181,2.12184167714895
2013-01-01,432.91,,152.09,,340.017279296261,170.58490009107,"2013","01",3.40040545480106,1.66741034733803,1.13711929777898,1.46634601188707
2013-02-01,443.76,,152.84,,348.539114043355,171.426103819575,"2013","02",3.47966780704118,4.21549517390388,1.63585583189254,2.57693562703928
2013-03-01,454.75,,153.95,,357.170907948476,172.671085337762,"2013","03",3.53883400465527,6.79645851436088,2.37398590238062,2.86288916355628
2013-04-01,462.18,,155.07,,363.006597549482,173.927282905662,"2013","04",3.55763917206454,8.54136821587095,3.11876579332358,2.73870139083726
2013-05-01,471.01,,156.14,,369.941878730757,175.127400224996,"2013","05",3.59312152320351,10.6150630562927,3.83029658199227,2.77134233056476
2013-06-01,482.06,,157.44,,378.620797989318,176.585486687738,"2013","06",3.63803652675526,13.2101171884174,4.69477324112249,2.8137923835612
2013-07-01,492.97,,158.9,,387.189758089852,178.223029945894,"2013","07",3.67142206442909,15.7722928066509,5.66564702753026,2.7838467045354
2013-08-01,502.33,,160.23,,394.541313226516,179.714764557776,"2013","08",3.69494051522962,17.9704563068035,6.55007314802498,2.7435504765656
2013-09-01,511.88,,161.56,,402.042098649073,181.206499169658,"2013","09",3.71943257913437,20.213240647237,7.43449926851973,2.71884358544858
2013-10-01,529.01,,163,,415.496387056236,182.821610328387,"2013","10",3.80934862055079,24.2361616683497,8.39207341401782,2.8879825607658
2013-11-01,544.12,,164.51,,427.364121897581,184.51523383511,"2013","11",3.87343330950573,27.7846927033184,9.39619630269981,2.95701492478771
2013-12-01,561.83,91.501503801746,166.84,,441.273955387999,187.128573418332,"2013","12",3.91690052985758,31.9438247105517,10.9456044686793,2.91841577155089
2014-01-01,585.34,94.84,,,459.739239710965,193.956089961616,"2014","01",3.82880172916869,4.18453980741505,3.64856976065381,1.14689867041632
2014-02-01,627.32,98.08,,,492.711278667923,200.582173169921,"2014","02",3.90438251920137,11.6565509139775,7.18949517213123,1.62133093282572
2014-03-01,652.39,100.62,,,512.401822180333,205.776695191246,"2014","03",3.89879662466957,16.1187547834754,9.96540583421539,1.61747098428576
2014-04-01,665.84,102.42,,,522.9657555765,209.457852529193,"2014","04",3.86418832274908,18.5127173700229,11.9325866183695,1.55144211075943
2014-05-01,682.84,103.89,,,536.31793905121,212.46413102185,"2014","05",3.87961864006613,21.5385436875923,13.5391175920954,1.59083806910484
2014-06-01,695.13,105.24,,,545.970782280867,215.224999025311,"2014","06",3.87043424650326,23.7260381254116,15.014503180211,1.58020800559571
2014-07-01,708.81,106.74,,,556.715362865222,218.292630140267,"2014","07",3.86089448111575,26.160938362138,16.6538205003394,1.57086707891471
2014-08-01,726.63,108.16,,,570.711592836946,221.196654262425,"2014","08",3.88386623130473,29.3327163020842,18.2057075633943,1.61118243825155
2014-09-01,749.11,109.65,,,588.367891925856,224.243834503281,"2014","09",3.9307213422567,33.3339266326113,19.8340961013886,1.68063754769634
2014-10-01,758.51,111.01,,,595.750863964813,227.025153380841,"2014","10",3.90277713326962,35.0070305964437,21.3204104716384,1.6419491849377
2014-11-01,769.59,112.26,,,604.453345900094,229.581512643305,"2014","11",3.89294225395168,36.9791573963654,22.686508238412,1.63000656635884
2014-12-01,780.99,113.38,,,613.407163053723,231.872010542472,"2014","12",3.89322314069346,39.0082409269708,23.9105318374413,1.63142506374066
